timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.6951606286173215e+18,-1.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0
1.6951606286183242e+18,-1.0,-1.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
1.6951606286183242e+18,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0
1.6951606286183242e+18,0.0,-2.0,-3.0,0.0,-2.0,-2.0,0.0,-2.0
1.6951606286193216e+18,-2.0,1.0,-1.0,2.0,0.0,1.0,1.0,0.0
1.6951606286193216e+18,0.0,1.0,-2.0,-1.0,-2.0,0.0,-1.0,-1.0
1.6951606286203208e+18,-1.0,-1.0,-3.0,0.0,-1.0,0.0,0.0,-2.0
1.6951606286203208e+18,0.0,-1.0,0.0,-2.0,3.0,1.0,-1.0,-1.0
1.6951606286333138e+18,0.0,-1.0,1.0,-3.0,-2.0,1.0,-1.0,-1.0
1.6951606286343132e+18,-1.0,-1.0,-2.0,-1.0,-1.0,-3.0,-2.0,0.0
1.6951606286343132e+18,-3.0,0.0,2.0,-1.0,-2.0,-2.0,0.0,0.0
1.6951606286343132e+18,1.0,-1.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0
1.6951606286383101e+18,1.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,0.0
1.6951606286383101e+18,-2.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0
1.6951606286393098e+18,1.0,0.0,-2.0,0.0,-1.0,1.0,-2.0,-1.0
1.6951606286393098e+18,-2.0,0.0,-4.0,-2.0,-1.0,-1.0,-1.0,-1.0
1.6951606286543014e+18,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0
1.6951606286543014e+18,0.0,0.0,0.0,-1.0,-3.0,-1.0,1.0,-1.0
1.6951606286682926e+18,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0
1.695160628669293e+18,-3.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,0.0
1.695160628670295e+18,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-2.0
1.695160628670295e+18,0.0,-2.0,-3.0,1.0,0.0,-1.0,-1.0,0.0
1.695160628676289e+18,-2.0,0.0,0.0,-1.0,0.0,-2.0,-1.0,1.0
1.6951606286782881e+18,0.0,-1.0,0.0,-2.0,-1.0,-2.0,-2.0,0.0
1.6951606286842862e+18,-2.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-2.0
1.6951606286842862e+18,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,1.0
1.6951606286972785e+18,1.0,-2.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0
1.6951606286972785e+18,-1.0,-1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0
1.6951606287092695e+18,1.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0
1.6951606287092695e+18,0.0,-1.0,0.0,1.0,-2.0,0.0,0.0,-3.0
1.695160628722266e+18,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-1.0
1.695160628722266e+18,0.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0,0.0
1.69516062876124e+18,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.6951606287622403e+18,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0
1.6951606287622403e+18,-1.0,-2.0,-3.0,-1.0,-3.0,0.0,-2.0,-1.0
1.6951606287632435e+18,-1.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,-2.0
1.6951606287662377e+18,-2.0,0.0,-1.0,0.0,-2.0,1.0,0.0,-1.0
1.6951606287662377e+18,-1.0,-2.0,-3.0,-1.0,-2.0,-2.0,-1.0,-1.0
1.6951606287672376e+18,0.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0
1.6951606287672376e+18,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-2.0,-1.0
1.695160628772234e+18,0.0,-1.0,0.0,-2.0,-2.0,-1.0,-2.0,0.0
1.695160628772234e+18,0.0,-2.0,0.0,-3.0,0.0,-1.0,-1.0,-1.0
1.6951606287802322e+18,0.0,1.0,3.0,2.0,0.0,0.0,-2.0,-2.0
1.6951606287802322e+18,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
1.6951606287872248e+18,-1.0,-1.0,-1.0,-2.0,0.0,-2.0,0.0,0.0
1.6951606287872248e+18,-2.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0
1.6951606288092342e+18,0.0,1.0,0.0,-1.0,0.0,-2.0,-3.0,-1.0
1.6951606288092342e+18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
1.6951606288092342e+18,1.0,-2.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0
1.6951606288102144e+18,-1.0,0.0,-1.0,1.0,-2.0,-1.0,0.0,-1.0
1.6951606288252255e+18,-2.0,-1.0,-2.0,0.0,0.0,-3.0,1.0,0.0
1.6951606288252255e+18,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0
1.6951606288321992e+18,-1.0,1.0,1.0,0.0,-2.0,-1.0,0.0,-1.0
1.6951606288321992e+18,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,0.0
1.6951606288491912e+18,-1.0,-1.0,1.0,-1.0,-4.0,1.0,0.0,-1.0
1.6951606288491912e+18,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,0.0
1.6951606288501896e+18,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-2.0,-2.0
1.6951606288501896e+18,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0
1.6951606288711767e+18,-1.0,-1.0,-3.0,-1.0,-2.0,1.0,-1.0,0.0
1.6951606288711767e+18,0.0,0.0,-1.0,-1.0,-3.0,0.0,-1.0,-1.0
1.6951606288721764e+18,-2.0,-1.0,0.0,0.0,0.0,-2.0,0.0,-2.0
1.6951606288731796e+18,0.0,0.0,-1.0,-1.0,-2.0,-1.0,-2.0,0.0
1.6951606288851692e+18,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0
1.6951606288851692e+18,1.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0
1.6951606288921646e+18,-1.0,-1.0,-3.0,-1.0,-1.0,-3.0,0.0,0.0
1.6951606288921646e+18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0
1.695160628912156e+18,0.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,0.0
1.6951606289131576e+18,0.0,-2.0,-1.0,1.0,-1.0,0.0,0.0,-2.0
1.6951606289131576e+18,-1.0,-2.0,1.0,0.0,-3.0,-1.0,-3.0,-1.0
1.6951606289131576e+18,0.0,0.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0
1.6951606289311424e+18,-1.0,-1.0,-3.0,-1.0,-2.0,-3.0,0.0,-1.0
1.6951606289311424e+18,-3.0,-2.0,-3.0,-2.0,1.0,-2.0,-1.0,-2.0
1.6951606289321426e+18,-1.0,-3.0,-4.0,-2.0,-2.0,0.0,-1.0,-1.0
1.6951606289331446e+18,0.0,-3.0,-2.0,-1.0,-3.0,-1.0,-2.0,-2.0
1.695160628945157e+18,-3.0,-2.0,-2.0,0.0,-1.0,-1.0,-2.0,-2.0
1.6951606289461348e+18,0.0,-1.0,-2.0,1.0,-1.0,-2.0,-1.0,0.0
1.6951606289621256e+18,-2.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0
1.6951606289631255e+18,-2.0,-1.0,-3.0,-1.0,-2.0,0.0,-1.0,-1.0
1.695160628968147e+18,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,-3.0
1.695160628969124e+18,1.0,-1.0,-1.0,-1.0,-2.0,0.0,-2.0,-2.0
1.6951606289701212e+18,1.0,0.0,-2.0,-1.0,1.0,-2.0,-1.0,-2.0
1.6951606289701212e+18,-1.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,0.0
1.695160628991108e+18,-1.0,-2.0,-1.0,0.0,2.0,-1.0,-1.0,0.0
1.695160628991108e+18,0.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-2.0
1.6951606289931082e+18,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
1.6951606289931082e+18,-1.0,-1.0,-2.0,0.0,-2.0,-3.0,0.0,-1.0
1.6951606290210906e+18,-1.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,0.0
1.6951606290210906e+18,-3.0,-4.0,-2.0,-1.0,0.0,-1.0,-1.0,0.0
1.6951606290230907e+18,0.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,-1.0
1.6951606290230907e+18,-3.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1.695160629029087e+18,-1.0,-1.0,-3.0,-2.0,-1.0,-2.0,1.0,-1.0
1.695160629029087e+18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
1.6951606290300874e+18,-1.0,-2.0,0.0,0.0,-2.0,1.0,0.0,-1.0
1.6951606290300874e+18,0.0,-1.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0
1.6951606290510738e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6951606290520745e+18,-2.0,0.0,1.0,0.0,0.0,-2.0,-2.0,-1.0
1.695160629077059e+18,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,1.0
1.695160629077059e+18,-3.0,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0
1.695160629077059e+18,-2.0,1.0,-1.0,1.0,-1.0,0.0,2.0,1.0
1.695160629077059e+18,-1.0,0.0,-1.0,-1.0,2.0,1.0,1.0,1.0
1.695160629077059e+18,0.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0
1.6951606290780588e+18,3.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0
1.6951606291170386e+18,1.0,1.0,1.0,-2.0,-2.0,2.0,-1.0,-2.0
1.695160629118036e+18,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
1.695160629118036e+18,-1.0,0.0,-1.0,1.0,0.0,-2.0,-1.0,0.0
1.695160629118036e+18,0.0,0.0,0.0,-4.0,1.0,1.0,-1.0,-1.0
1.695160629118036e+18,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-2.0
1.695160629118036e+18,0.0,1.0,-1.0,-2.0,-3.0,0.0,-1.0,-1.0
1.695160629118036e+18,-1.0,1.0,0.0,-1.0,1.0,0.0,-2.0,0.0
1.695160629118036e+18,-2.0,-1.0,-1.0,-2.0,-1.0,1.0,0.0,0.0
1.6951606291520177e+18,1.0,-1.0,1.0,-3.0,-2.0,-1.0,-2.0,0.0
1.6951606291530186e+18,-2.0,0.0,0.0,0.0,2.0,-1.0,-1.0,-3.0
1.6951606291530186e+18,-1.0,-2.0,0.0,-2.0,-2.0,-1.0,0.0,-1.0
1.6951606291530186e+18,-1.0,1.0,-1.0,-1.0,-3.0,-2.0,0.0,0.0
1.6951606291530186e+18,-1.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0
1.6951606291530186e+18,-1.0,1.0,-1.0,-2.0,-2.0,-1.0,-3.0,1.0
1.6951606291530186e+18,1.0,0.0,2.0,-1.0,-1.0,1.0,1.0,2.0
1.6951606291530186e+18,1.0,-1.0,0.0,-1.0,1.0,2.0,0.0,-1.0
1.6951606291800018e+18,0.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0
1.6951606291800018e+18,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0
1.6951606291810002e+18,-2.0,-2.0,-2.0,-3.0,-4.0,-3.0,0.0,0.0
1.6951606291810002e+18,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0
1.6951606291849974e+18,0.0,0.0,0.0,1.0,3.0,1.0,-1.0,-2.0
1.6951606291849974e+18,0.0,-1.0,0.0,-1.0,-2.0,2.0,1.0,1.0
1.6951606292009902e+18,0.0,-1.0,0.0,-2.0,-1.0,0.0,1.0,-2.0
1.6951606292019889e+18,0.0,-1.0,0.0,-1.0,-4.0,-1.0,-1.0,-2.0
1.6951606292089846e+18,-1.0,-1.0,-3.0,-3.0,-4.0,-3.0,-3.0,-1.0
1.6951606292099837e+18,-1.0,-2.0,0.0,-2.0,-5.0,-2.0,-2.0,-1.0
1.6951606292109834e+18,-1.0,0.0,-1.0,2.0,9.0,0.0,1.0,0.0
1.6951606292109834e+18,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0
1.6951606292309716e+18,-1.0,-1.0,0.0,2.0,1.0,-1.0,1.0,1.0
1.6951606292319703e+18,-1.0,-1.0,-1.0,-4.0,-3.0,-1.0,0.0,-1.0
1.69516062923297e+18,-1.0,1.0,2.0,-2.0,-6.0,-3.0,-4.0,-1.0
1.69516062923297e+18,1.0,0.0,-5.0,2.0,7.0,1.0,0.0,1.0
1.695160629244963e+18,-1.0,0.0,-1.0,-3.0,-4.0,-1.0,0.0,-1.0
1.695160629244963e+18,0.0,0.0,-1.0,1.0,3.0,0.0,0.0,-1.0
1.6951606292609533e+18,0.0,-2.0,-3.0,-3.0,-5.0,-1.0,1.0,0.0
1.6951606292609533e+18,-1.0,1.0,2.0,1.0,1.0,-2.0,-1.0,1.0
1.695160629275945e+18,0.0,-1.0,-2.0,-1.0,-3.0,-1.0,-2.0,1.0
1.695160629275945e+18,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0
1.6951606292779443e+18,0.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0
1.6951606292779443e+18,-1.0,-2.0,-6.0,0.0,-1.0,-2.0,0.0,-1.0
1.6951606292909358e+18,-1.0,2.0,8.0,6.0,3.0,-1.0,0.0,0.0
1.6951606292909358e+18,-2.0,1.0,-1.0,-3.0,-4.0,-2.0,-2.0,-3.0
1.6951606292929362e+18,-2.0,-2.0,-4.0,0.0,-4.0,0.0,-4.0,-4.0
1.6951606292929362e+18,-1.0,-2.0,-2.0,-5.0,-6.0,-3.0,0.0,0.0
1.6951606293139233e+18,-2.0,-3.0,-5.0,-3.0,-5.0,-5.0,-4.0,-1.0
1.6951606293139233e+18,-1.0,-3.0,1.0,-2.0,-2.0,-3.0,-2.0,0.0
1.6951606293149258e+18,0.0,-2.0,-7.0,0.0,5.0,3.0,0.0,0.0
1.6951606293149258e+18,-2.0,-3.0,0.0,3.0,0.0,-2.0,-1.0,-2.0
1.6951606293279153e+18,-1.0,-1.0,-5.0,-1.0,5.0,2.0,1.0,-1.0
1.6951606293279153e+18,0.0,1.0,1.0,2.0,-2.0,0.0,0.0,-2.0
1.6951606293349117e+18,-2.0,-1.0,-1.0,-4.0,-7.0,-3.0,0.0,-1.0
1.6951606293349117e+18,-4.0,-2.0,8.0,2.0,-9.0,-4.0,-3.0,-3.0
1.6951606293499249e+18,-2.0,-2.0,5.0,0.0,-3.0,0.0,-1.0,0.0
1.695160629350902e+18,-1.0,-5.0,-16.0,-8.0,3.0,-3.0,-4.0,-2.0
1.695160629350902e+18,1.0,-1.0,9.0,5.0,-1.0,-2.0,2.0,-1.0
1.695160629350902e+18,-1.0,3.0,2.0,1.0,3.0,3.0,2.0,-1.0
1.695160629373891e+18,-2.0,-5.0,-1.0,4.0,-4.0,-1.0,-1.0,-3.0
1.695160629373891e+18,-2.0,-1.0,8.0,-7.0,-5.0,-1.0,-1.0,-1.0
1.6951606293748913e+18,0.0,-4.0,-24.0,-10.0,-8.0,-4.0,-4.0,-2.0
