timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.6951607864323932e+18,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0
1.6951607864323932e+18,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
1.6951607864333883e+18,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0,-1.0
1.6951607864333883e+18,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0
1.695160786434373e+18,-2.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0
1.695160786434373e+18,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,1.0,1.0
1.6951607864423726e+18,-1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,-1.0
1.6951607864423726e+18,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.0
1.6951607864443868e+18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.6951607864453673e+18,-1.0,-1.0,-3.0,-1.0,-2.0,-1.0,-2.0,-1.0
1.6951607864543616e+18,-1.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.6951607864543616e+18,-1.0,-1.0,-2.0,-3.0,0.0,-4.0,-1.0,0.0
1.695160786467357e+18,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0,-1.0
1.695160786467357e+18,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0
1.6951607864783488e+18,1.0,-2.0,-1.0,-2.0,-1.0,0.0,0.0,1.0
1.6951607864783488e+18,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.6951607864893412e+18,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,-1.0
1.6951607864893412e+18,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0
1.6951607864993585e+18,-3.0,1.0,0.0,1.0,-2.0,-1.0,-3.0,-1.0
1.6951607864993585e+18,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0
1.6951607865063542e+18,-1.0,-1.0,-1.0,-3.0,-2.0,-2.0,-2.0,-2.0
1.6951607865063542e+18,0.0,0.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0
1.6951607865193242e+18,-1.0,-1.0,-2.0,0.0,-2.0,-1.0,0.0,-1.0
1.695160786520346e+18,1.0,0.0,-1.0,-2.0,-2.0,-2.0,-1.0,0.0
1.695160786520346e+18,-1.0,0.0,0.0,1.0,1.0,-2.0,-1.0,1.0
1.695160786520346e+18,0.0,-1.0,-2.0,-1.0,0.0,-2.0,-2.0,-2.0
1.6951607865662994e+18,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0
