timestamp,EMG_s0,EMG_s1,EMG_s2,EMG_s3,EMG_s4,EMG_s5,EMG_s6,EMG_s7
1.6951613228841372e+18,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0
1.6951613228841372e+18,-1.0,1.0,0.0,-1.0,1.0,-2.0,0.0,0.0
1.6951613228851377e+18,-2.0,-2.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0
1.6951613228851377e+18,-2.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
1.6951613228861358e+18,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0
1.6951613228861358e+18,0.0,0.0,0.0,-2.0,0.0,1.0,-2.0,0.0
1.6951613228951514e+18,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
1.6951613228951514e+18,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0
1.6951613228961313e+18,-1.0,-2.0,-2.0,1.0,0.0,-1.0,1.0,-2.0
1.6951613228961313e+18,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0
1.695161322920137e+18,0.0,0.0,-1.0,-2.0,0.0,-1.0,-1.0,1.0
1.695161322920137e+18,-2.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,0.0
1.6951613229211164e+18,-2.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0
1.6951613229211164e+18,0.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,-1.0
1.69516132293211e+18,0.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-3.0
1.6951613229331092e+18,1.0,-2.0,-1.0,-1.0,-3.0,0.0,-3.0,1.0
1.6951613229331092e+18,-1.0,-1.0,-2.0,0.0,0.0,-1.0,-1.0,-1.0
1.695161322934107e+18,-2.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
1.6951613229471012e+18,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0
1.6951613229481006e+18,0.0,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0
1.695161322956096e+18,-2.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0
1.695161322956096e+18,0.0,0.0,-1.0,0.0,-2.0,-2.0,0.0,1.0
1.6951613229760858e+18,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0
1.6951613229770852e+18,0.0,0.0,0.0,-3.0,0.0,-2.0,-1.0,-2.0
1.6951613229770852e+18,0.0,1.0,-2.0,1.0,-2.0,-2.0,-1.0,-2.0
1.6951613229770852e+18,-1.0,-2.0,-1.0,-2.0,-1.0,2.0,1.0,-1.0
1.6951613229930752e+18,1.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0
1.6951613229930752e+18,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
1.6951613230110633e+18,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0
1.6951613230110633e+18,1.0,-1.0,0.0,-2.0,-1.0,-1.0,-2.0,-1.0
1.6951613230120622e+18,-1.0,0.0,-2.0,-1.0,-2.0,0.0,0.0,-2.0
1.6951613230130742e+18,-1.0,-2.0,0.0,0.0,1.0,-1.0,-2.0,-1.0
